,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
0,Volkswagen Passat 1.8 TSI MT,.8 TSI MT,4.7 Lakh*,2010,Petrol,"43,000 kms",1798 CC,First Owner,Manual,14.3 kmpl
1,Maruti Swift Dzire 1.2 Lxi BSIV,1.2 Lxi BSIV,2.5 Lakh*,2010,Petrol,"44,000 kms",1197 CC,First Owner,Manual,17.5 kmpl
2,Volkswagen Vento Diesel Highline,esel Highline,3.8 Lakh*,2013,Diesel,"61,820 kms",1598 CC,First Owner,Manual,20.54 kmpl
3,Hyundai i10 Magna,,3 Lakh*,2015,Petrol,"49,000 kms",1197 CC,First Owner,Manual,20.36 kmpl
4,Maruti Alto K10 LXI,,2.4 Lakh*,2014,Petrol,"34,000 kms",998 CC,First Owner,Manual,20.92 kmpl
5,Maruti Alto 800 LXI,,2.15 Lakh*,2013,Petrol,"17,000 kms",796 CC,Second Owner,Manual,22.74 kmpl
6,Honda City 1.5 S MT,,3.25 Lakh*,2010,Petrol,"60,000 kms",1497 CC,First Owner,Manual,17.0 kmpl
7,Maruti Wagon R Stingray VXI Optional,gray VXI Optional,3.9 Lakh*,2015,Petrol,"12,000 kms",998 CC,First Owner,Manual,20.51 kmpl
8,BMW X1 xDrive 20d M Sport, Sport,22.99 Lakh*,2017,Diesel,"53,001 kms",1995 CC,First Owner,Automatic,20.68 kmpl
9,Hyundai Elantra 1.6 SX Option, SX Option,11.99 Lakh*,2019,Diesel,"32,694 kms",1582 CC,First Owner,Manual,22.54 kmpl
10,Toyota Innova 2.5 E 7 STR, 7 STR,6.24 Lakh*,2012,Diesel,"99,000 kms",2494 CC,First Owner,Manual,12.8 kmpl
11,Volkswagen Polo 1.2 MPI Highline, MPI Highline,4.64 Lakh*,2016,Petrol,"39,000 kms",1198 CC,First Owner,Manual,16.47 kmpl
12,Renault Duster Petrol RxL,ol RxL,5.34 Lakh*,2015,Petrol,"30,000 kms",1598 CC,First Owner,Manual,13.24 kmpl
13,Toyota Etios G,,2.25 Lakh*,2013,Petrol,"35,500 kms",1496 CC,Second Owner,Manual,16.78 kmpl
14,Hyundai i20 2015-2017 Asta Option 1.2,17 Asta Option 1.2,5.35 Lakh*,2015,Petrol,"34,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
15,Ford EcoSport 1.5 Diesel Titanium,iesel Titanium,7.49 Lakh*,2018,Diesel,"50,437 kms",1498 CC,First Owner,Manual,21.7 kmpl
16,Toyota Etios VX,,3.75 Lakh*,2015,Petrol,"55,000 kms",1496 CC,First Owner,Manual,16.78 kmpl
17,Hyundai i20 Sportz 1.4 CRDi,1.4 CRDi,5.25 Lakh*,2016,Diesel,"19,000 kms",1396 CC,Second Owner,Manual,21.9 kmpl
18,BMW 5 Series 520d Luxury Line,uxury Line,23.5 Lakh*,2015,Diesel,"34,000 kms",1995 CC,Second Owner,Automatic,18.12 kmpl
19,Renault KWID 1.0 RXT Opt BSIV,T Opt BSIV,4.5 Lakh*,2020,Petrol,"16,598 kms",999 CC,First Owner,Manual,23.01 kmpl
20,BMW 5 Series 520d Luxury Line,uxury Line,23.5 Lakh*,2015,Diesel,"34,000 kms",1995 CC,Second Owner,Automatic,18.12 kmpl
21,Renault KWID 1.0 RXT Opt BSIV,T Opt BSIV,4.5 Lakh*,2020,Petrol,"16,598 kms",999 CC,First Owner,Manual,23.01 kmpl
22,Chevrolet Aveo U-VA 1.2 LS, 1.2 LS,1.49 Lakh*,2009,Petrol,"31,000 kms",1150 CC,First Owner,Manual,15.26 kmpl
23,Maruti Wagon R VXI BS IV,BS IV,1.99 Lakh*,2010,Petrol,"25,000 kms",998 CC,First Owner,Manual,18.9 kmpl
24,Renault Scala RxL AT,T,3.99 Lakh*,2015,Petrol,"43,000 kms",1498 CC,First Owner,Automatic,17.97 kmpl
25,Hyundai Santro Xing GLS, GLS,2.35 Lakh*,2013,Petrol,"31,000 kms",1086 CC,First Owner,Manual,17.92 kmpl
26,Audi Q3 35 TDI Quattro Premium Plus,tro Premium Plus,21.49 Lakh*,2018,Diesel,"40,360 kms",1968 CC,First Owner,Automatic,15.73 kmpl
27,Skoda Fabia 1.2 Petrol Active,rol Active,2.19 Lakh*,2012,Petrol,"29,658 kms",1198 CC,First Owner,Manual,16.25 kmpl
28,Maruti Alto K10 VXI,,2.85 Lakh*,2016,Petrol,"37,282 kms",998 CC,First Owner,Manual,23.95 kmpl
29,Skoda Laura Ambition 2.0 TDI CR AT,n 2.0 TDI CR AT,3.7 Lakh*,2012,Diesel,"54,000 kms",1968 CC,First Owner,Automatic,20.0 kmpl
30,Maruti Ertiga SHVS VDI,VDI,7.1 Lakh*,2016,Diesel,"67,000 kms",1248 CC,First Owner,Manual,24.52 kmpl
31,Honda City S,,3.75 Lakh*,2012,Petrol,"42,285 kms",1497 CC,First Owner,Manual,16.8 kmpl
32,Volkswagen Vento 1.5 TDI Highline,5 TDI Highline,4.1 Lakh*,2014,Diesel,"44,500 kms",1498 CC,First Owner,Manual,22.27 kmpl
33,Maruti Alto K10 LXI,,1.79 Lakh*,2011,Petrol,"34,256 kms",998 CC,First Owner,Manual,20.92 kmpl
34,Ford EcoSport 1.5 DV5 MT Trend,V5 MT Trend,4.65 Lakh*,2014,Diesel,"65,000 kms",1498 CC,First Owner,Manual,22.7 kmpl
35,Hyundai i20 Magna,,6.71 Lakh*,2020,Petrol,"4,950 kms",1197 CC,First Owner,Manual,20.35 kmpl
36,Datsun GO Plus T Option,tion,3.75 Lakh*,2018,Petrol,"14,000 kms",1198 CC,First Owner,Manual,19.02 kmpl
37,Honda WR-V VX,,8.49 Lakh*,2020,Petrol,"9,000 kms",1199 CC,First Owner,Manual,16.5 kmpl
38,Hyundai i20 Petrol Asta,Asta,5.99 Lakh*,2018,Petrol,"35,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
39,Toyota Corolla Altis D-4D GL,s D-4D GL,10.76 Lakh*,2017,Diesel,"23,000 kms",1364 CC,Second Owner,Manual,21.43 kmpl
40,Toyota Innova 2.5 G (Diesel) 7 Seater, (Diesel) 7 Seater,6.95 Lakh*,2013,Diesel,"85,000 kms",2494 CC,First Owner,Manual,12.99 kmpl
41,Renault KWID 1.0 RXT Opt BSIV,T Opt BSIV,4.5 Lakh*,2020,Petrol,"16,598 kms",999 CC,First Owner,Manual,23.01 kmpl
42,Chevrolet Aveo U-VA 1.2 LS, 1.2 LS,1.49 Lakh*,2009,Petrol,"31,000 kms",1150 CC,First Owner,Manual,15.26 kmpl
43,Maruti Wagon R VXI BS IV,BS IV,1.99 Lakh*,2010,Petrol,"25,000 kms",998 CC,First Owner,Manual,18.9 kmpl
44,Renault Scala RxL AT,T,3.99 Lakh*,2015,Petrol,"43,000 kms",1498 CC,First Owner,Automatic,17.97 kmpl
45,Hyundai Santro Xing GLS, GLS,2.35 Lakh*,2013,Petrol,"31,000 kms",1086 CC,First Owner,Manual,17.92 kmpl
46,Maruti Alto K10 VXI,,2.85 Lakh*,2016,Petrol,"37,282 kms",998 CC,First Owner,Manual,23.95 kmpl
47,Audi Q3 35 TDI Quattro Premium Plus,tro Premium Plus,21.49 Lakh*,2018,Diesel,"40,360 kms",1968 CC,First Owner,Automatic,15.73 kmpl
48,Skoda Fabia 1.2 Petrol Active,rol Active,2.19 Lakh*,2012,Petrol,"29,658 kms",1198 CC,First Owner,Manual,16.25 kmpl
49,Nissan Micra Diesel XV Premium, XV Premium,3 Lakh*,2014,Diesel,"60,000 kms",1461 CC,First Owner,Manual,23.08 kmpl
50,Skoda Laura Ambition 2.0 TDI CR AT,n 2.0 TDI CR AT,3.7 Lakh*,2012,Diesel,"54,000 kms",1968 CC,First Owner,Automatic,20.0 kmpl
51,Renault Duster 110PS Diesel RxZ,S Diesel RxZ,5.5 Lakh*,2015,Diesel,"41,000 kms",1461 CC,First Owner,Manual,19.01 kmpl
52,Maruti Wagon R LXI,,2.1 Lakh*,2010,Petrol,"26,000 kms",998 CC,First Owner,Manual,21.79 kmpl
53,Honda City 1.5 V MT,,3.49 Lakh*,2011,Petrol,"38,567 kms",1497 CC,First Owner,Manual,17.0 kmpl
54,Toyota Fortuner 4x2 Manual, Manual,11 Lakh*,2012,Diesel,"74,000 kms",2982 CC,First Owner,Manual,13.0 kmpl
55,Hyundai Santro Xing XL eRLX Euro II, XL eRLX Euro II,"95,000*",2004,Petrol,"77,000 kms",1086 CC,First Owner,Manual,17.0 kmpl
56,Maruti Ertiga SHVS VDI,VDI,7.1 Lakh*,2016,Diesel,"67,000 kms",1248 CC,First Owner,Manual,24.52 kmpl
57,Datsun GO Plus T BSIV,IV,3.25 Lakh*,2017,Petrol,"8,000 kms",1198 CC,First Owner,Manual,19.44 kmpl
58,Honda City S,,3.75 Lakh*,2012,Petrol,"42,285 kms",1497 CC,First Owner,Manual,16.8 kmpl
59,Volkswagen Vento 1.5 TDI Highline,5 TDI Highline,4.1 Lakh*,2014,Diesel,"44,500 kms",1498 CC,First Owner,Manual,22.27 kmpl
60,Toyota Fortuner 4x2 Manual, Manual,11 Lakh*,2012,Diesel,"74,000 kms",2982 CC,First Owner,Manual,13.0 kmpl
61,Toyota Corolla Altis D-4D GL,s D-4D GL,10.76 Lakh*,2017,Diesel,"23,000 kms",1364 CC,Second Owner,Manual,21.43 kmpl
62,Hyundai Santro Xing XL eRLX Euro II, XL eRLX Euro II,"95,000*",2004,Petrol,"77,000 kms",1086 CC,First Owner,Manual,17.0 kmpl
63,Maruti Ertiga SHVS VDI,VDI,7.1 Lakh*,2016,Diesel,"67,000 kms",1248 CC,First Owner,Manual,24.52 kmpl
64,Datsun GO Plus T BSIV,IV,3.25 Lakh*,2017,Petrol,"8,000 kms",1198 CC,First Owner,Manual,19.44 kmpl
65,Honda City S,,3.75 Lakh*,2012,Petrol,"42,285 kms",1497 CC,First Owner,Manual,16.8 kmpl
66,Volkswagen Vento 1.5 TDI Highline,5 TDI Highline,4.1 Lakh*,2014,Diesel,"44,500 kms",1498 CC,First Owner,Manual,22.27 kmpl
67,Maruti Alto K10 LXI,,1.79 Lakh*,2011,Petrol,"34,256 kms",998 CC,First Owner,Manual,20.92 kmpl
68,Ford EcoSport 1.5 DV5 MT Trend,V5 MT Trend,4.65 Lakh*,2014,Diesel,"65,000 kms",1498 CC,First Owner,Manual,22.7 kmpl
69,Maruti Swift Dzire AMT ZDI Plus,AMT ZDI Plus,6.4 Lakh*,2017,Diesel,"28,159 kms",1248 CC,First Owner,Automatic,28.4 kmpl
70,Hyundai i20 Magna,,6.71 Lakh*,2020,Petrol,"4,950 kms",1197 CC,First Owner,Manual,20.35 kmpl
71,Datsun GO Plus T Option,tion,3.75 Lakh*,2018,Petrol,"14,000 kms",1198 CC,First Owner,Manual,19.02 kmpl
72,Honda WR-V VX,,8.49 Lakh*,2020,Petrol,"9,000 kms",1199 CC,First Owner,Manual,16.5 kmpl
73,Toyota Etios Cross 1.2L G,1.2L G,4.25 Lakh*,2014,Petrol,"42,000 kms",1197 CC,First Owner,Manual,18.16 kmpl
74,Toyota Etios GD,,3.79 Lakh*,2014,Diesel,"3,79,000 kms",1364 CC,First Owner,Manual,23.59 kmpl
75,Nissan Sunny Diesel XV, XV,3.49 Lakh*,2014,Diesel,"35,268 kms",1461 CC,First Owner,Manual,21.64 kmpl
76,Maruti A Star Vxi,,1.49 Lakh*,2009,Petrol,"42,000 kms",998 CC,First Owner,Manual,19.0 kmpl
77,Hyundai Elantra 2.0 SX, SX,8.95 Lakh*,2017,Petrol,"45,000 kms",1999 CC,First Owner,Manual,14.59 kmpl
78,Maruti Vitara Brezza VDi Option,a VDi Option,5.99 Lakh*,2016,Diesel,"45,000 kms",1248 CC,First Owner,Manual,24.3 kmpl
79,Ford Figo Diesel Titanium,tanium,2.1 Lakh*,2012,Diesel,"30,206 kms",1399 CC,Second Owner,Manual,20.0 kmpl
80,Ford EcoSport 1.5 DV5 MT Ambiente,V5 MT Ambiente,5.1 Lakh*,2015,Diesel,"36,160 kms",1498 CC,First Owner,Manual,22.7 kmpl
81,Volkswagen Vento 1.5 TDI Highline AT,5 TDI Highline AT,4.7 Lakh*,2015,Diesel,"65,000 kms",1498 CC,First Owner,Automatic,21.21 kmpl
82,Datsun GO T BSIV,,2.95 Lakh*,2014,Petrol,"9,000 kms",1198 CC,First Owner,Manual,20.63 kmpl
83,Maruti SX4 S Cross DDiS 200 Zeta,DDiS 200 Zeta,6.5 Lakh*,2017,Diesel,"35,000 kms",1248 CC,First Owner,Manual,23.65 kmpl
84,Maruti Wagon R VXI,,3.1 Lakh*,2013,Petrol,"42,118 kms",998 CC,First Owner,Manual,20.51 kmpl
85,Hyundai i20 Magna 1.2,.2,4.35 Lakh*,2015,Petrol,"41,000 kms",1197 CC,Second Owner,Manual,18.6 kmpl
86,Mahindra KUV100 NXT G80 K2, G80 K2,4.41 Lakh*,2019,Petrol,"44,000 kms",1198 CC,First Owner,Manual,18.15 kmpl
87,Renault Scala RxE,,3.5 Lakh*,2014,Petrol,"45,000 kms",1498 CC,First Owner,Manual,16.95 kmpl
88,Maruti Ertiga VXI,,5.5 Lakh*,2014,Petrol,"35,000 kms",1373 CC,First Owner,Manual,16.02 kmpl
89,Datsun GO T Petrol,,3.25 Lakh*,2018,Petrol,"9,000 kms",1198 CC,First Owner,Manual,19.83 kmpl
90,Maruti Swift RS VDI,,3.39 Lakh*,2014,Diesel,"52,500 kms",1248 CC,First Owner,Manual,22.9 kmpl
91,Renault Fluence E4 D,D,5.5 Lakh*,2014,Diesel,"41,000 kms",1461 CC,First Owner,Manual,20.4 kmpl
92,Maruti Alto 800 LXI,,2.1 Lakh*,2013,Petrol,"27,000 kms",796 CC,First Owner,Manual,22.74 kmpl
93,Volkswagen Vento 1.6 Highline,6 Highline,5.45 Lakh*,2016,Petrol,"41,000 kms",1598 CC,First Owner,Manual,16.09 kmpl
94,Hyundai i20 2015-2017 Magna 1.2,17 Magna 1.2,4.9 Lakh*,2016,Petrol,"34,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
95,Honda City 2017-2020 GXi,0 GXi,2.65 Lakh*,2007,Petrol,"19,000 kms",1497 CC,First Owner,Manual,17.7 kmpl
96,Maruti Wagon R AMT VXI Option,VXI Option,3.95 Lakh*,2017,Petrol,"15,000 kms",998 CC,First Owner,Automatic,20.51 kmpl
97,Hyundai i20 1.2 Spotz,tz,4.99 Lakh*,2017,Petrol,"40,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
98,Hyundai Verna 1.4 VTVT,TVT,4.25 Lakh*,2014,Petrol,"42,000 kms",1396 CC,First Owner,Manual,17.43 kmpl
99,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,X (Diesel) 8 Seater BS IV,5.75 Lakh*,2011,Diesel,"1,35,000 kms",2494 CC,First Owner,Manual,12.99 kmpl
100,Maruti Alto 800 LXI,,2.1 Lakh*,2013,Petrol,"27,000 kms",796 CC,First Owner,Manual,22.74 kmpl
101,Volkswagen Vento 1.6 Highline,6 Highline,5.45 Lakh*,2016,Petrol,"41,000 kms",1598 CC,First Owner,Manual,16.09 kmpl
102,Hyundai i20 2015-2017 Magna 1.2,17 Magna 1.2,4.9 Lakh*,2016,Petrol,"34,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
103,Honda City 2017-2020 GXi,0 GXi,2.65 Lakh*,2007,Petrol,"19,000 kms",1497 CC,First Owner,Manual,17.7 kmpl
104,Maruti Wagon R AMT VXI Option,VXI Option,3.95 Lakh*,2017,Petrol,"15,000 kms",998 CC,First Owner,Automatic,20.51 kmpl
105,Hyundai i20 1.2 Spotz,tz,4.99 Lakh*,2017,Petrol,"40,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
106,Hyundai Verna 1.4 VTVT,TVT,4.25 Lakh*,2014,Petrol,"42,000 kms",1396 CC,First Owner,Manual,17.43 kmpl
107,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,X (Diesel) 8 Seater BS IV,5.75 Lakh*,2011,Diesel,"1,35,000 kms",2494 CC,First Owner,Manual,12.99 kmpl
108,Hyundai Grand i10 Sportz,portz,3.75 Lakh*,2015,Petrol,"42,000 kms",1197 CC,First Owner,Manual,18.9 kmpl
109,Maruti Swift Dzire ZDI,ZDI,3.8 Lakh*,2013,Diesel,"45,000 kms",1248 CC,First Owner,Manual,23.4 kmpl
110,Hyundai i20 Magna Optional 1.2,ptional 1.2,3.1 Lakh*,2013,Petrol,"13,891 kms",1197 CC,First Owner,Manual,18.5 kmpl
111,Maruti Wagon R AMT VXI,VXI,3.65 Lakh*,2016,Petrol,"36,887 kms",998 CC,First Owner,Automatic,20.51 kmpl
112,Maruti Ignis 1.2 Zeta BSIV,ta BSIV,4.45 Lakh*,2017,Petrol,"24,477 kms",1197 CC,First Owner,Manual,20.89 kmpl
113,Maruti Alto LXi,,1.4 Lakh*,2010,Petrol,"25,000 kms",796 CC,First Owner,Manual,19.7 kmpl
114,Maruti Ertiga VDI,,5.1 Lakh*,2013,Diesel,"49,000 kms",1248 CC,Second Owner,Manual,20.77 kmpl
115,Maruti Zen Estilo VXI BSIV,XI BSIV,2.35 Lakh*,2013,Petrol,"46,000 kms",998 CC,First Owner,Manual,19.0 kmpl
116,Maruti Swift VXI BSIII,III,1.85 Lakh*,2008,Petrol,"46,000 kms",1298 CC,Second Owner,Manual,16.1 kmpl
117,BMW 3 Series 320d Luxury Line,uxury Line,20.75 Lakh*,2015,Diesel,"29,000 kms",1995 CC,First Owner,Automatic,22.69 kmpl
118,BMW 3 Series 320d Sedan,edan,9.25 Lakh*,2011,Diesel,"41,000 kms",1995 CC,First Owner,Automatic,16.07 kmpl
119,Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,.0 TDI Quattro Premium Plus,16 Lakh*,2012,Diesel,"43,000 kms",2967 CC,First Owner,Automatic,12.07 kmpl
120,Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,-2020 Sigma DDiS 200 SH,5.9 Lakh*,2016,Diesel,"25,000 kms",1248 CC,First Owner,Manual,25.1 kmpl
121,Nissan Sunny XL,,3.4 Lakh*,2015,Petrol,"39,000 kms",1498 CC,First Owner,Manual,16.95 kmpl
122,Honda Amaze 2016-2021 E Diesel,21 E Diesel,4.75 Lakh*,2017,Diesel,"43,000 kms",1498 CC,First Owner,Manual,24.7 kmpl
123,Toyota Corolla Altis D-4D J,s D-4D J,6.95 Lakh*,2014,Diesel,"25,000 kms",1364 CC,First Owner,Manual,21.43 kmpl
124,Hyundai i20 Active 1.2 S,1.2 S,5.27 Lakh*,2015,Petrol,"35,600 kms",1197 CC,First Owner,Manual,17.19 kmpl
125,Toyota Etios Cross 1.2L G,1.2L G,3.49 Lakh*,2015,Petrol,"35,536 kms",1197 CC,First Owner,Manual,18.16 kmpl
126,BMW X1 sDrive 20d xLine,Line,24.99 Lakh*,2017,Diesel,"40,001 kms",1995 CC,First Owner,Automatic,20.68 kmpl
127,Hyundai Xcent 1.2 VTVT SX,TVT SX,4.75 Lakh*,2018,Petrol,"35,000 kms",1197 CC,First Owner,Manual,20.14 kmpl
128,Mahindra XUV500 W9 2WD,2WD,12.49 Lakh*,2018,Diesel,"83,931 kms",2179 CC,First Owner,Manual,16.0 kmpl
129,Maruti Celerio VXI,,2.99 Lakh*,2015,Petrol,"76,475 kms",998 CC,First Owner,Manual,23.1 kmpl
130,BMW 3 Series 320d Edition Sport,dition Sport,25.99 Lakh*,2018,Diesel,"40,971 kms",1995 CC,First Owner,Automatic,22.69 kmpl
131,Hyundai i20 Sportz 1.4 CRDi,1.4 CRDi,3.09 Lakh*,2012,Diesel,"56,000 kms",1396 CC,First Owner,Manual,21.9 kmpl
132,Ford EcoSport 1.5 Ti VCT AT Titanium BE BSIV,i VCT AT Titanium BE BSIV,6.75 Lakh*,2016,Petrol,"60,000 kms",1499 CC,First Owner,Automatic,16.05 kmpl
133,Maruti Ignis 1.2 Sigma BSIV,gma BSIV,4.29 Lakh*,2017,Petrol,"23,000 kms",1197 CC,First Owner,Manual,20.89 kmpl
134,Maruti Alto LX,,1.24 Lakh*,2009,Petrol,"55,000 kms",796 CC,First Owner,Manual,19.7 kmpl
135,Maruti Ertiga SHVS ZDI Plus,ZDI Plus,6.79 Lakh*,2016,Diesel,"65,000 kms",1248 CC,First Owner,Manual,24.52 kmpl
136,Hyundai Grand i10 Sportz Celebration Edition,portz Celebration Edition,4.24 Lakh*,2016,Petrol,"26,000 kms",1197 CC,First Owner,Manual,18.9 kmpl
137,Hyundai i10 Era 1.1,,2.24 Lakh*,2010,Petrol,"42,000 kms",1086 CC,First Owner,Manual,19.81 kmpl
138,Maruti Swift VDI Optional,tional,4.65 Lakh*,2016,Diesel,"24,000 kms",1248 CC,First Owner,Manual,25.2 kmpl
139,Hyundai i10 Magna 1.2 iTech SE,.2 iTech SE,3.1 Lakh*,2015,Petrol,"23,100 kms",1197 CC,First Owner,Manual,20.36 kmpl
140,Hyundai EON D Lite Plus,Plus,2.57 Lakh*,2016,Petrol,"6,800 kms",814 CC,First Owner,Manual,21.1 kmpl
141,Volkswagen Polo 1.5 TDI Trendline, TDI Trendline,3.5 Lakh*,2016,Diesel,"67,000 kms",1498 CC,First Owner,Manual,20.14 kmpl
142,Mahindra Bolero ZLX,,5.75 Lakh*,2016,Diesel,"52,000 kms",2523 CC,First Owner,Manual,13.6 kmpl
143,Mahindra Scorpio S8 8 Seater, 8 Seater,8.9 Lakh*,2016,Diesel,"60,000 kms",2179 CC,First Owner,Manual,15.4 kmpl
144,Mahindra KUV 100 mFALCON G80 K6 Plus,ALCON G80 K6 Plus,2.99 Lakh*,2016,Petrol,"38,000 kms",1198 CC,First Owner,Manual,18.15 kmpl
145,Kia Sonet GTX Plus Turbo iMT,Turbo iMT,11.7 Lakh*,2020,Petrol,"7,500 kms",998 CC,Second Owner,Manual,18.2 kmpl
146,Hyundai i10 Magna,,1.8 Lakh*,2009,Petrol,"46,000 kms",1197 CC,First Owner,Manual,20.36 kmpl
147,Maruti Wagon R LXI BSIII,BSIII,1.9 Lakh*,2009,Petrol,"12,700 kms",998 CC,First Owner,Manual,18.9 kmpl
148,Maruti Baleno Alpha 1.2, 1.2,5.9 Lakh*,2018,Petrol,"41,000 kms",1197 CC,First Owner,Manual,21.4 kmpl
149,Renault Duster 85PS Diesel RxL, Diesel RxL,4.75 Lakh*,2015,Diesel,"38,000 kms",1461 CC,First Owner,Manual,20.45 kmpl
150,Maruti Swift LDI BSIV,IV,4.1 Lakh*,2015,Diesel,"45,000 kms",1248 CC,First Owner,Manual,25.2 kmpl
151,Honda Amaze VX i-DTEC,EC,4.5 Lakh*,2016,Diesel,"70,070 kms",1498 CC,First Owner,Manual,25.8 kmpl
152,Honda City V AT,,3.25 Lakh*,2011,Petrol,"50,000 kms",1497 CC,First Owner,Automatic,15.6 kmpl
153,Honda Amaze S i-Dtech,ch,4.2 Lakh*,2015,Diesel,"38,532 kms",1498 CC,First Owner,Manual,25.8 kmpl
154,Maruti S-Presso VXI,,3.8 Lakh*,2019,Petrol,"8,000 kms",998 CC,First Owner,Manual,21.7 kmpl
155,Toyota Fortuner 4x2 Manual, Manual,16.9 Lakh*,2016,Diesel,"1,23,000 kms",2982 CC,First Owner,Manual,13.0 kmpl
156,Hyundai Verna 1.6 VTVT SX,TVT SX,5.5 Lakh*,2016,Petrol,"39,000 kms",1591 CC,First Owner,Manual,17.01 kmpl
157,Honda City 2017-2020 GXi,0 GXi,2.1 Lakh*,2008,Petrol,"46,261 kms",1497 CC,First Owner,Manual,17.7 kmpl
158,Hyundai i10 Sportz 1.2,1.2,2.35 Lakh*,2010,Petrol,"46,935 kms",1197 CC,First Owner,Manual,20.36 kmpl
159,Maruti Swift Dzire Tour LXI,Tour LXI,1.89 Lakh*,2009,Petrol,"42,000 kms",1197 CC,First Owner,Manual,19.0 kmpl
160,Volkswagen Passat 1.8 TSI MT,.8 TSI MT,4.7 Lakh*,2010,Petrol,"43,000 kms",1798 CC,First Owner,Manual,14.3 kmpl
161,Maruti Swift Dzire 1.2 Lxi BSIV,1.2 Lxi BSIV,2.5 Lakh*,2010,Petrol,"44,000 kms",1197 CC,First Owner,Manual,17.5 kmpl
162,Volkswagen Vento Diesel Highline,esel Highline,3.8 Lakh*,2013,Diesel,"61,820 kms",1598 CC,First Owner,Manual,20.54 kmpl
163,Hyundai i10 Magna,,3 Lakh*,2015,Petrol,"49,000 kms",1197 CC,First Owner,Manual,20.36 kmpl
164,Maruti Alto K10 LXI,,2.4 Lakh*,2014,Petrol,"34,000 kms",998 CC,First Owner,Manual,20.92 kmpl
165,Maruti Alto 800 LXI,,2.15 Lakh*,2013,Petrol,"17,000 kms",796 CC,Second Owner,Manual,22.74 kmpl
166,Honda City 1.5 S MT,,3.25 Lakh*,2010,Petrol,"60,000 kms",1497 CC,First Owner,Manual,17.0 kmpl
167,Maruti Wagon R Stingray VXI Optional,gray VXI Optional,3.9 Lakh*,2015,Petrol,"12,000 kms",998 CC,First Owner,Manual,20.51 kmpl
168,BMW X1 xDrive 20d M Sport, Sport,22.99 Lakh*,2017,Diesel,"53,001 kms",1995 CC,First Owner,Automatic,20.68 kmpl
169,Hyundai Elantra 1.6 SX Option, SX Option,11.99 Lakh*,2019,Diesel,"32,694 kms",1582 CC,First Owner,Manual,22.54 kmpl
170,Toyota Innova 2.5 E 7 STR, 7 STR,6.24 Lakh*,2012,Diesel,"99,000 kms",2494 CC,First Owner,Manual,12.8 kmpl
171,Volkswagen Polo 1.2 MPI Highline, MPI Highline,4.64 Lakh*,2016,Petrol,"39,000 kms",1198 CC,First Owner,Manual,16.47 kmpl
172,Renault Duster Petrol RxL,ol RxL,5.34 Lakh*,2015,Petrol,"30,000 kms",1598 CC,First Owner,Manual,13.24 kmpl
173,Toyota Etios G,,2.25 Lakh*,2013,Petrol,"35,500 kms",1496 CC,Second Owner,Manual,16.78 kmpl
174,Hyundai i20 2015-2017 Asta Option 1.2,17 Asta Option 1.2,5.35 Lakh*,2015,Petrol,"34,000 kms",1197 CC,First Owner,Manual,18.6 kmpl
175,Ford EcoSport 1.5 Diesel Titanium,iesel Titanium,7.49 Lakh*,2018,Diesel,"50,437 kms",1498 CC,First Owner,Manual,21.7 kmpl
176,Toyota Etios VX,,3.75 Lakh*,2015,Petrol,"55,000 kms",1496 CC,First Owner,Manual,16.78 kmpl
177,Hyundai i20 Sportz 1.4 CRDi,1.4 CRDi,5.25 Lakh*,2016,Diesel,"19,000 kms",1396 CC,Second Owner,Manual,21.9 kmpl
178,BMW 5 Series 520d Luxury Line,uxury Line,23.5 Lakh*,2015,Diesel,"34,000 kms",1995 CC,Second Owner,Automatic,18.12 kmpl
179,Renault KWID 1.0 RXT Opt BSIV,T Opt BSIV,4.5 Lakh*,2020,Petrol,"16,598 kms",999 CC,First Owner,Manual,23.01 kmpl
180,BMW 5 Series 520d Luxury Line,uxury Line,23.5 Lakh*,2015,Diesel,"34,000 kms",1995 CC,Second Owner,Automatic,18.12 kmpl
181,Renault KWID 1.0 RXT Opt BSIV,T Opt BSIV,4.5 Lakh*,2020,Petrol,"16,598 kms",999 CC,First Owner,Manual,23.01 kmpl
182,Chevrolet Aveo U-VA 1.2 LS, 1.2 LS,1.49 Lakh*,2009,Petrol,"31,000 kms",1150 CC,First Owner,Manual,15.26 kmpl
183,Maruti Wagon R VXI BS IV,BS IV,1.99 Lakh*,2010,Petrol,"25,000 kms",998 CC,First Owner,Manual,18.9 kmpl
184,Renault Scala RxL AT,T,3.99 Lakh*,2015,Petrol,"43,000 kms",1498 CC,First Owner,Automatic,17.97 kmpl
185,Hyundai Santro Xing GLS, GLS,2.35 Lakh*,2013,Petrol,"31,000 kms",1086 CC,First Owner,Manual,17.92 kmpl
